date,FED_FUNDS,ECB_RATE,BOE_RATE,BOJ_RATE,SNB_RATE,BOC_RATE,RBA_RATE
2024-01-01,5.25,4.50,5.25,0.10,1.75,5.00,4.35
2024-01-02,5.25,4.50,5.25,0.10,1.75,5.00,4.35
2024-01-03,5.25,4.50,5.25,0.10,1.75,5.00,4.35
2024-01-04,5.25,4.50,5.25,0.10,1.75,5.00,4.35
2024-01-05,5.25,4.50,5.25,0.10,1.75,5.00,4.35
